id,title,artist_name,lyricist,composer,arranger,release_date,semantic_tags,summary,punchline,isrc,tempo,energy,danceability,valence,fame_score,score_daily_life,score_energy_burst,score_euphoria,score_festival,score_graduation,score_growing_up,score_impermanence,score_midnight_room,score_professional,score_rivalry,score_school_life,score_self_love,score_sentimental,score_shy_romance,score_sixteen_beat,score_social_satire,score_strong_girl,score_struggle,score_tonchiki,score_universe_scale,score_urban_night,inst_id,live_id,other_ver_id,history_context
3SgwTwHfZ0rewzThhRcoT1,勇敢なダンス,モーニング娘。'24,,,大久保薫,2024-11-27,"応援ソング, ダンス, ライブ定番, 16ビート, 強い女性, ディフィカルトリスニング中級","「Do it, do it Just do it, you can dance」と、憂鬱な気分やコンプレックスを踊って吹き飛ばせと鼓舞する。「ため息の秘密は 誰にも言いたくない」悩みも、ダンスでエネルギーに変えるモーニング娘。'24の応援歌。","Just do it, 勇敢だ",JPA602400324,120.0,0.9586,0.6363,0.524,0.28,0.56113074204947,0.7201413427561838,0.3773851590106007,0.0007067137809187279,0.942642723130528,0.5342756183745583,0.0007067137809187279,0.0007067137809187279,0.8544169611307421,0.0007067137809187279,0.0007067137809187279,0.7413427561837456,0.1717314487632509,0.0007067137809187279,0.8607773851590106,0.8219081272084806,0.6381625441696113,0.8565371024734982,0.6812720848056537,0.0007067137809187279,0.7929328621908127,,,,"つばきファクトリー 新沼希空 GRAD (2024-06-10), Juice=Juice 植村あかり GRAD (2024-06-14), ロージークロニクル 橋田歩果・吉田姫杷・小野田華凜・村越彩菜・植村葉純・松原ユリヤ・島川波菜・上村麗菜・相馬優芽 RENAME (2024-06-16), アンジュルム 佐々木莉佳子 GRAD (2024-06-19), BEYOOOOONDS 山﨑夢羽 GRAD (2024-06-27), アンジュルム 川村文乃 GRAD (2024-11-28), モーニング娘。'24 石田亜佑美 GRAD (2024-12-06)"
4Vq7dJTHXa1y4LwLQNLypr,おっちょこちょいなファンタジアロマンス／北川莉央･岡村ほまれ･山﨑愛生,モーニング娘。'24,,,神谷礼,2024-11-27,グルーブ感,,,,95.0,0.6,0.6,0.8,0.35,0.0,0.0,0.0,0.0,0.942642723130528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,"つばきファクトリー 新沼希空 GRAD (2024-06-10), Juice=Juice 植村あかり GRAD (2024-06-14), ロージークロニクル 橋田歩果・吉田姫杷・小野田華凜・村越彩菜・植村葉純・松原ユリヤ・島川波菜・上村麗菜・相馬優芽 RENAME (2024-06-16), アンジュルム 佐々木莉佳子 GRAD (2024-06-19), BEYOOOOONDS 山﨑夢羽 GRAD (2024-06-27), アンジュルム 川村文乃 GRAD (2024-11-28), モーニング娘。'24 石田亜佑美 GRAD (2024-12-06)"
7kUsAsPS9wuUR1uPTgIzMx,「恋人」,モーニング娘。'24,つんく,つんく,大久保薫,2024-11-27,"恋愛ソング, つんく♂イズム, つんく＿おふざけ無し",「誰が見てもほとんど恋人同士」な二人なのに、告白もキスもまだ。核心に触れない彼に「根性なし」と毒づきつつ、「このまま終わっちゃうのかな」と不安になる、付き合う直前の最もじれったく楽しい時間を描く。,二人確信に 触れないね,JPA602400326,145.0,0.8861,0.609,0.5542,0.28,0.6812720848056537,0.23392226148409895,0.2855123674911661,0.0007067137809187279,0.942642723130528,0.18657243816254418,0.5272084805653711,0.7208480565371025,0.0007067137809187279,0.0007067137809187279,0.0007067137809187279,0.13851590106007067,0.6636042402826855,0.9229681978798586,0.49469964664310956,0.0007067137809187279,0.0607773851590106,0.4657243816254417,0.0007067137809187279,0.0007067137809187279,0.5851590106007067,,,,"つばきファクトリー 新沼希空 GRAD (2024-06-10), Juice=Juice 植村あかり GRAD (2024-06-14), ロージークロニクル 橋田歩果・吉田姫杷・小野田華凜・村越彩菜・植村葉純・松原ユリヤ・島川波菜・上村麗菜・相馬優芽 RENAME (2024-06-16), アンジュルム 佐々木莉佳子 GRAD (2024-06-19), BEYOOOOONDS 山﨑夢羽 GRAD (2024-06-27), アンジュルム 川村文乃 GRAD (2024-11-28), モーニング娘。'24 石田亜佑美 GRAD (2024-12-06)"
1zKFkkmP7T8wVWpLfVMnoO,ムカ好き！,モーニング娘。'24,,,平田祥一郎,2024-11-27,"初心者におすすめ, かわいい, キラーチューン",「好きすぎてムカ好き」という強烈な造語で、理不尽なほど彼が好きでたまらない感情を表現。「寂しすぎるの毎日」と重めの愛を、ポップでハイテンションなメロディに乗せて叩きつける、モーニング娘。'24のラブソング。,好きすぎてムカ好き,JPA602400327,140.0,0.9062,0.621,0.3491,0.55,0.6812720848056537,0.8544169611307421,0.9024734982332155,0.0007067137809187279,0.942642723130528,0.3363957597173145,0.0007067137809187279,0.0007067137809187279,0.0007067137809187279,0.0007067137809187279,0.0007067137809187279,0.8954063604240282,0.3265017667844523,0.610600706713781,0.6388692579505301,0.0007067137809187279,0.9088339222614841,0.10812720848056537,0.9137809187279152,0.8282685512367491,0.0007067137809187279,,,,"つばきファクトリー 新沼希空 GRAD (2024-06-10), Juice=Juice 植村あかり GRAD (2024-06-14), ロージークロニクル 橋田歩果・吉田姫杷・小野田華凜・村越彩菜・植村葉純・松原ユリヤ・島川波菜・上村麗菜・相馬優芽 RENAME (2024-06-16), アンジュルム 佐々木莉佳子 GRAD (2024-06-19), BEYOOOOONDS 山﨑夢羽 GRAD (2024-06-27), アンジュルム 川村文乃 GRAD (2024-11-28), モーニング娘。'24 石田亜佑美 GRAD (2024-12-06)"
0dzMBqta5zQHZERhVlydkC,すっごいFEVER！,モーニング娘。'23,つんく♂,つんく♂,平田祥一郎,2023-10-25,"キラーチューン, 盛り上がる, 赤羽橋ファンク",,,JPA602300122,134.0,0.853,0.6406,0.524,0.28,0.0,0.0,0.0,0.0,0.870008040739748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3aQ5RlJ3rbS0xA3Sq3vxNk (Instrumental),5vZco16tnMVErpa6kdkLSv ((コンサートツアー2023秋「Neverending Shine Show ~聖域~」 )),4Ang8XIwrsC280DXSqCUXz (別収録),"モーニング娘。'23 井上春華・弓桁朱琴 JOIN (2023-05-23), アンジュルム 下井谷幸穂・後藤花 JOIN (2023-05-23), Juice=Juice 川嶋美楓 JOIN (2023-05-23), アンジュルム 竹内朱莉 GRAD (2023-06-21), つばきファクトリー 山岸理子・岸本ゆめの GRAD (2023-11-06)"
3mQJf7yao79Xnre31QMqqE,内緒だよ／小田さくら･羽賀朱音,モーニング娘。'24,,,AKIRA,2024-11-27,グルーブ感,,,,95.0,0.4,0.4,0.5,0.07,0.0,0.0,0.0,0.0,0.942642723130528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,"つばきファクトリー 新沼希空 GRAD (2024-06-10), Juice=Juice 植村あかり GRAD (2024-06-14), ロージークロニクル 橋田歩果・吉田姫杷・小野田華凜・村越彩菜・植村葉純・松原ユリヤ・島川波菜・上村麗菜・相馬優芽 RENAME (2024-06-16), アンジュルム 佐々木莉佳子 GRAD (2024-06-19), BEYOOOOONDS 山﨑夢羽 GRAD (2024-06-27), アンジュルム 川村文乃 GRAD (2024-11-28), モーニング娘。'24 石田亜佑美 GRAD (2024-12-06)"
2pibLsc0SlBSwtOVQ3zfdy,会えてよかった／横山玲奈･井上春華,モーニング娘。'24,,,江上浩太郎,2024-11-27,かわいい,,,,170.0,0.7,0.5,0.8,0.07,0.0,0.0,0.0,0.0,0.942642723130528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,"つばきファクトリー 新沼希空 GRAD (2024-06-10), Juice=Juice 植村あかり GRAD (2024-06-14), ロージークロニクル 橋田歩果・吉田姫杷・小野田華凜・村越彩菜・植村葉純・松原ユリヤ・島川波菜・上村麗菜・相馬優芽 RENAME (2024-06-16), アンジュルム 佐々木莉佳子 GRAD (2024-06-19), BEYOOOOONDS 山﨑夢羽 GRAD (2024-06-27), アンジュルム 川村文乃 GRAD (2024-11-28), モーニング娘。'24 石田亜佑美 GRAD (2024-12-06)"
0SN4KQrC4V7aF7BFnHXlJx,Neverending Shine／モーニング娘。'23,モーニング娘。'23,,,神谷礼,2023-10-25,"卒業曲, 切ない, 多幸感",モーニング娘。のリーダー譜久村聖の卒業記念ソング。「不思議すぎるくらいに好きだよ」と、グループへの深い愛を表現。「未来を変える愛もある」と信じる、温かく力強いメッセージ。,Never-ending shine,JPA602300124,102.0,0.7,0.4,0.8,0.07,0.0077738515901060075,0.3137809187279152,0.6056537102473498,0.0007067137809187279,0.870008040739748,0.6954063604240283,0.9519434628975265,0.6014134275618375,0.8070671378091873,0.0007067137809187279,0.0007067137809187279,0.392226148409894,0.9208480565371024,0.0007067137809187279,0.053003533568904596,0.0007067137809187279,0.2508833922261484,0.4657243816254417,0.0007067137809187279,0.9816254416961131,0.5851590106007067,3wswH9S3BO80L0obdbQelc (Instrumental),,3NDXlgfGGb9VNe45W7SXRj (別収録),"モーニング娘。'23 井上春華・弓桁朱琴 JOIN (2023-05-23), アンジュルム 下井谷幸穂・後藤花 JOIN (2023-05-23), Juice=Juice 川嶋美楓 JOIN (2023-05-23), アンジュルム 竹内朱莉 GRAD (2023-06-21), つばきファクトリー 山岸理子・岸本ゆめの GRAD (2023-11-06)"
1fyDXrpAixeLM2N49rRBSg,幸せ指数 発表されたい／生田衣梨奈･石田亜佑美･野中美希･牧野真莉愛･櫻井梨央･弓桁朱琴,モーニング娘。'24,,,鈴木俊介,2024-11-27,"良イントロ, 赤羽橋ファンク",,,,120.0,0.9872,0.5626,0.588,0.07,0.0,0.0,0.0,0.0,0.942642723130528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,"つばきファクトリー 新沼希空 GRAD (2024-06-10), Juice=Juice 植村あかり GRAD (2024-06-14), ロージークロニクル 橋田歩果・吉田姫杷・小野田華凜・村越彩菜・植村葉純・松原ユリヤ・島川波菜・上村麗菜・相馬優芽 RENAME (2024-06-16), アンジュルム 佐々木莉佳子 GRAD (2024-06-19), BEYOOOOONDS 山﨑夢羽 GRAD (2024-06-27), アンジュルム 川村文乃 GRAD (2024-11-28), モーニング娘。'24 石田亜佑美 GRAD (2024-12-06)"
5Mjt3WEQqRs8fiYiB2gxTI,大空に向かって,モーニング娘。'24,,,平田祥一郎,2024-11-27,,,,JPA602400331,120.0,0.3688,0.6861,0.4107,0.07,0.0,0.0,0.0,0.0,0.942642723130528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,"つばきファクトリー 新沼希空 GRAD (2024-06-10), Juice=Juice 植村あかり GRAD (2024-06-14), ロージークロニクル 橋田歩果・吉田姫杷・小野田華凜・村越彩菜・植村葉純・松原ユリヤ・島川波菜・上村麗菜・相馬優芽 RENAME (2024-06-16), アンジュルム 佐々木莉佳子 GRAD (2024-06-19), BEYOOOOONDS 山﨑夢羽 GRAD (2024-06-27), アンジュルム 川村文乃 GRAD (2024-11-28), モーニング娘。'24 石田亜佑美 GRAD (2024-12-06)"
